pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
triamcinolone-acetonide,Launched,glucocorticoid receptor agonist|immunosuppressant,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
triapine,Phase 2,ribonucleotide reductase inhibitor,RRM1|RRM2,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
tribomsalan,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tribromoethanol,Preclinical,analgesic agent,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
tricaprylin,Launched,,,other / unclassified,,,no annotated mechanism of action
trichloroacetic-acid,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
trichloroethylene,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
triclabendazole,Launched,microtubule inhibitor,DNMT1,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
triclosan,Launched,antibacterial agent,DNMT1,other / unclassified,broad epigenetic poison,DNMT1,hard exclusion: broad epigenetic poison
trifluridine,Launched,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
trigonelline,Phase 1,,,other / unclassified,,,no annotated mechanism of action
TRIM,Preclinical,,,other / unclassified,,,no annotated mechanism of action
trimethoprim,Launched,dihydrofolate reductase inhibitor,DHFR|TYMS,metabolic,broad cytotoxic chemotherapeutic,TYMS,hard exclusion: broad cytotoxic chemotherapeutic
trimethylolpropane-triacrylate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
trioxsalen,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
triptolide,Phase 3,RNA polymerase inhibitor,RELA,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
triptorelin,Launched,gonadotropin releasing factor hormone receptor agonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
troclosene,Launched,,,other / unclassified,,,no annotated mechanism of action
trofosfamide,Launched,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
troleandomycin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
trometamol,Launched,,AMD1|CANT1|DCN|NEIL1|VEGFA,growth factor / cytokine,,,no annotated mechanism of action
trovafloxacin,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
troventol,Phase 1,,,other / unclassified,,,no annotated mechanism of action
TTNPB,Phase 1,retinoid receptor agonist,RARA|RARB|RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
TU-2100,Phase 2,,,other / unclassified,,,no annotated mechanism of action
tuaminoheptane,Launched,,,other / unclassified,,,no annotated mechanism of action
TWS-119,Preclinical,glycogen synthase kinase inhibitor,GSK3B|JUN|MYC,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
tylosin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
tymazoline,Launched,,,other / unclassified,,,no annotated mechanism of action
tyrphostin-AG-879,Preclinical,tyrosine kinase inhibitor,ERBB2|KDR|NTRK1,kinase,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
U-0126,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAP2K2|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,kinase,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
ulifloxacin,Launched,,,other / unclassified,,,no annotated mechanism of action
ulipristal,Launched,progesterone receptor antagonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
undecylenic-acid,Launched,other antifungal,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
uracil,Launched,,DPYD|UCKL1,other / unclassified,,,no annotated mechanism of action
uracil-mustard,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
urethane,Preclinical,local anesthetic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
uric-acid,Phase 3,,PYGL,other / unclassified,,,no annotated mechanism of action
uridine-triacetate,Launched,,,other / unclassified,,,no annotated mechanism of action
ursolic-acid,Phase 2/Phase 3,ATPase inhibitor|NFkB pathway inhibitor|STAT inhibitor,HSD11B1|PLA2G1B|PTPN1|PYGM,other / unclassified,systemic glucocorticoid manipulation,HSD11B1,hard exclusion: systemic glucocorticoid manipulation
valganciclovir,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
valrocemide,Phase 2,,,other / unclassified,,,no annotated mechanism of action
valrubicin,Launched,DNA inhibitor|topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
vandetanib,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
vanillin,Preclinical,,ABAT|ALDH5A1,other / unclassified,,,no annotated mechanism of action
vanillylacetone,Preclinical,,,other / unclassified,,,no annotated mechanism of action
vanitiolide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
vatalanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
velaresol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
verubulin,Phase 2,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
vinblastine,Launched,microtubule inhibitor|tubulin polymerization inhibitor,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
vincristine,Launched,tubulin polymerization inhibitor,TUBA4A|TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
vindesine,Launched,tubulin polymerization inhibitor,TUBB|TUBB1,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
vinflunine,Launched,microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
vinorelbine,Launched,tubulin polymerization inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
viomycin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
vitamin-B12,Launched,,,other / unclassified,,,no annotated mechanism of action
volasertib,Phase 3,PLK inhibitor,PLK1,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
voreloxin,Phase 3,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
WAY-200070,Preclinical,estrogen receptor agonist,ERBB2|ERBB3|ERBB4|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
WAY-207024,Preclinical,gonadotropin releasing factor hormone receptor antagonist,GNRHR|HRH2|TACR2,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
WAY-255348,Preclinical,progesterone receptor antagonist,,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
wortmannin,Preclinical,PI3K inhibitor,PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC,kinase,PLK inhibitor,PLK1,hard exclusion: PLK inhibitor
WP921,Preclinical,,,other / unclassified,,,no annotated mechanism of action
WR99210,Preclinical,dihydrofolate reductase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,TYMS,hard exclusion: broad cytotoxic chemotherapeutic
xenalipin,Phase 2,,,other / unclassified,,,no annotated mechanism of action
xilobam,Phase 1,,,other / unclassified,,,no annotated mechanism of action
XL647,Phase 3,EGFR inhibitor|VEGFR inhibitor,EGFR|EPHB4|ERBB2|FLT4|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
XMD8-92,Preclinical,MAP kinase inhibitor,DCLK2|MAPK7|PLK4|TNK1,kinase,PLK inhibitor,PLK4,hard exclusion: PLK inhibitor
xylose,Launched,,,other / unclassified,,,no annotated mechanism of action
Y-134,Preclinical,estrogen receptor antagonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
YM-155,Phase 2,survivin inhibitor,BIRC5,other / unclassified,survivin inhibitor,survivin,hard exclusion: survivin inhibitor
YM-511,Phase 2,aromatase inhibitor,CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
ZAMI-633,Phase 3,urease inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
ZAPA,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
zeatin,Phase 1,,,other / unclassified,,,no annotated mechanism of action
zebularine,Preclinical,DNA methyltransferase inhibitor,CDA|DNMT1,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
zinc-undecylenate,Launched,other antifungal,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
ZK-164015,Preclinical,estrogen receptor antagonist,ESR1|ESR2,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
ZLN005,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ZM-306416,Preclinical,Abl kinase inhibitor|SRC inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ZM-323881,Preclinical,VEGFR inhibitor,KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ZM-447439,Preclinical,Aurora kinase inhibitor,AURKA|AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
zoledronic-acid,Launched,bone resorption inhibitor,FDPS|GGPS1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
zometapine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
zopolrestat,Phase 2,,AKR1B1|AKR1B10,other / unclassified,,,no annotated mechanism of action
"1,4-butanediol",Phase 1,benzodiazepine receptor agonist|gamma hydroxybutyric acid agonist,MAN1B1|PLA2G2A|PLA2G2E,GPCR,,,no orderable sample (no SMILES or catalogue number)
"1,5-dicaffeoylquinic-acid",Phase 1,,,other / unclassified,,,no annotated mechanism of action
"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",Preclinical,,,other / unclassified,,,no annotated mechanism of action
1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
1-azakenpaullone,Preclinical,glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
1-hexadecanol,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
1-octacosanol,Phase 2,,,other / unclassified,,,no annotated mechanism of action
1-octanol,Phase 2,,GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,Preclinical,,,other / unclassified,,,no annotated mechanism of action
10-hydroxycamptothecin,Preclinical,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
17-hydroxyprogesterone-caproate,Launched,progesterone receptor agonist,AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
17-PA,Preclinical,glucocorticoid receptor agonist,,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
"2,3-cis/exo-camphanediol",Phase 1,,,other / unclassified,,,no annotated mechanism of action
"2,3-cis/exo-pinanediol",Phase 1,,,other / unclassified,,,no annotated mechanism of action
"2,6-dimethylpiperidine",Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-(1-adamantylamino)benzoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-chloropyrazine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose,Preclinical,,,other / unclassified,,,no annotated mechanism of action
"2-ethyl-1,3-hexanediol",Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
2-fluoro-2-deoxy-D-galactose,Phase 1,,LCT,other / unclassified,,,no annotated mechanism of action
2-fluorofucose,Phase 1,,,other / unclassified,,,no annotated mechanism of action
"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione",Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-hydroxyethyl-salicylate,Launched,,,other / unclassified,,,no annotated mechanism of action
2-hydroxyflutamide,Phase 2,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
2-iodohippuric-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-methoxyestradiol,Phase 2,hypoxia inducible factor inhibitor,COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB,other / unclassified,systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
2-methyl-5-nitrophenol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
2-octyldodecan-1-ol,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
2-oxoglutaric-acid,Preclinical,,OXGR1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
2-thiouracil,Preclinical,,,other / unclassified,,,no annotated mechanism of action
"3,3'-diindolylmethane",Phase 3,"CHK inhibitor|cytochrome P450 activator|indoleamine 2,3-dioxygenase inhibitor",AR|HIF1A|IFNG|PI3,other / unclassified,systemic sex-steroid manipulation,AR,hard exclusion: systemic sex-steroid manipulation
3-alpha-hydroxy-5-beta-androstan-17-one,Preclinical,,HSD17B11|IGHG2|SULT2A1,other / unclassified,,,no annotated mechanism of action
3-anilinopropan-1-ol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
3-bromocamphor,Launched,,,other / unclassified,,,no annotated mechanism of action
3-indolebutyric-acid,Preclinical,,B2M|HLA-A|TRAC|TRBC1,other / unclassified,,,no annotated mechanism of action
"4,4'-DDT",Preclinical,,,other / unclassified,,,no annotated mechanism of action
"4,5,6,7-tetrabromobenzotriazole",Preclinical,casein kinase inhibitor,AKT1|CHEK1|CSNK2A1|GSK3B|LCK|MAP2K1|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,kinase,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
